School,State Overall Score,Better Education Percentile,English,Maths,Total Enrolments,Trend / Compare,Locality,Sector,SES
"Galstaun College,Ingleside,NSW,2101",96,10%,5,4,320,Trend / Compare,"Ingleside,NSW,2101",Non-government,71
"Caringbah North Public School,Caringbah,NSW,2229",96,10%,5,5,580,Trend / Compare,"Caringbah,NSW,2229",Government,89
"Frenchs Forest Public School,Frenchs Forest,NSW,2086",96,10%,5,5,230,Trend / Compare,"Frenchs Forest,NSW,2086",Government,95
"St Bernard's Catholic Primary School,Botany,NSW,2019",96,10%,5,4,210,Trend / Compare,"Botany,NSW,2019",Non-government,94
"Villa Maria Catholic Primary School,Hunters Hill,NSW,2110",96,10%,5,4,380,Trend / Compare,"Hunters Hill,NSW,2110",Non-government,97
"Bella Vista Public School,Bella Vista,NSW,2153",96,11%,5,5,840,Trend / Compare,"Bella Vista,NSW,2153",Government,95
"Greenacre Baptist Christian Community School,Greenacre,NSW,2190",96,11%,5,4,310,Trend / Compare,"Greenacre,NSW,2190",Non-government,92
"Petersham Public School,Petersham,NSW,2049",96,11%,5,4,270,Trend / Compare,"Petersham,NSW,2049",Government,95
"Galilee Catholic Primary School,Bondi Beach,NSW,2026",96,11%,5,4,90,Trend / Compare,"Bondi Beach,NSW,2026",Non-government,95
"Killarney Heights Public School,Killarney Heights,NSW,2087",96,11%,5,5,660,Trend / Compare,"Killarney Heights,NSW,2087",Government,96
"Wakehurst Public School,Belrose,NSW,2085",96,11%,5,4,410,Trend / Compare,"Belrose,NSW,2085",Government,95
"Manly Village Public School,Manly,NSW,2095",96,11%,5,4,580,Trend / Compare,"Manly,NSW,2095",Government,96
"St Cecilia's Catholic Primary School,Balgowlah,NSW,2093",96,11%,5,4,250,Trend / Compare,"Balgowlah,NSW,2093",Non-government,96
"Lewisham Public School,Lewisham,NSW,2049",96,11%,5,4,250,Trend / Compare,"Lewisham,NSW,2049",Government,91
"Burnside Public School,North Parramatta,NSW,2151",96,11%,5,4,220,Trend / Compare,"North Parramatta,NSW,2151",Government,95
"Illawong Public School,Illawong,NSW,2234",96,11%,5,4,210,Trend / Compare,"Illawong,NSW,2234",Government,79
"St Charles' School,Waverley,NSW,2024",96,11%,5,4,310,Trend / Compare,"Waverley,NSW,2024",Non-government,96
"Lane Cove West Public School,Lane Cove,NSW,2066",96,11%,5,4,540,Trend / Compare,"Lane Cove,NSW,2066",Government,96
"West Pennant Hills Public School,West Pennant Hills,NSW,2125",96,11%,5,5,590,Trend / Compare,"West Pennant Hills,NSW,2125",Government,95
"St Fiacre's Catholic Primary School,Leichhardt,NSW,2040",96,11%,5,4,130,Trend / Compare,"Leichhardt,NSW,2040",Non-government,95
"Bourke Street Public School,Surry Hills,NSW,2010",96,11%,5,5,440,Trend / Compare,"Surry Hills,NSW,2010",Government,95
"Dulwich Hill Public School,Dulwich Hill,NSW,2203",96,11%,5,4,410,Trend / Compare,"Dulwich Hill,NSW,2203",Government,95
"St Brigid's Catholic Primary School,Coogee,NSW,2034",96,11%,5,5,210,Trend / Compare,"Coogee,NSW,2034",Non-government,96
"St Peter Chanel Catholic Primary School,Regents Park,NSW,2143",96,11%,5,4,390,Trend / Compare,"Regents Park,NSW,2143",Non-government,63
"St Mary's Primary School,Concord,NSW,2137",96,11%,5,5,310,Trend / Compare,"Concord,NSW,2137",Non-government,90
"Balgowlah North Public School,Balgowlah North,NSW,2093",96,11%,5,5,440,Trend / Compare,"Balgowlah North,NSW,2093",Government,96
"Al Hikma College,Lakemba,NSW,2195",96,11%,5,4,400,Trend / Compare,"Lakemba,NSW,2195",Non-government,81
"Kareela Public School,Kareela,NSW,2232",96,11%,5,4,350,Trend / Compare,"Kareela,NSW,2232",Government,95
"Our Lady Star of the Sea Catholic School,Miranda,NSW,2228",96,12%,5,4,430,Trend / Compare,"Miranda,NSW,2228",Non-government,91
"Our Lady of the Angels Primary School,Kellyville,NSW,2155",96,12%,5,4,530,Trend / Compare,"Kellyville,NSW,2155",Non-government,92
"Prouille Catholic Primary School,Wahroonga,NSW,2076",96,12%,5,4,220,Trend / Compare,"Wahroonga,NSW,2076",Non-government,96
"Clovelly Public School,Waverley,NSW,2024",96,12%,5,5,500,Trend / Compare,"Waverley,NSW,2024",Government,96
"Rainbow Street Public School,Randwick,NSW,2031",95,12%,5,4,480,Trend / Compare,"Randwick,NSW,2031",Government,95
"Stanmore Public School,Stanmore,NSW,2048",95,12%,5,4,590,Trend / Compare,"Stanmore,NSW,2048",Government,95
"Holy Spirit Catholic Primary School,North Ryde,NSW,2113",95,12%,5,5,420,Trend / Compare,"North Ryde,NSW,2113",Non-government,95
"Mount Colah Public School,Mount Colah,NSW,2079",95,12%,5,4,480,Trend / Compare,"Mount Colah,NSW,2079",Government,95
"St Francis Xavier Catholic School,Croydon Park,NSW,2133",95,12%,5,4,350,Trend / Compare,"Croydon Park,NSW,2133",Non-government,94
"St Francis De Sales' Catholic Primary School,Woolooware,NSW,2230",95,12%,5,4,160,Trend / Compare,"Woolooware,NSW,2230",Non-government,93
"Strathfield North Public School,North Strathfield,NSW,2137",95,12%,5,4,520,Trend / Compare,"North Strathfield,NSW,2137",Government,95
"St Gerard's Catholic Primary School,Carlingford,NSW,2118",95,12%,5,4,290,Trend / Compare,"Carlingford,NSW,2118",Non-government,96
"All Saints Greek Orthodox Grammar School,Belmore,NSW,2192",95,12%,5,4,530,Trend / Compare,"Belmore,NSW,2192",Non-government,90
"Kensington Public School,Kensington,NSW,2033",95,12%,5,5,430,Trend / Compare,"Kensington,NSW,2033",Government,95
"Sacred Heart Catholic School,Pymble,NSW,2073",95,12%,5,4,200,Trend / Compare,"Pymble,NSW,2073",Non-government,66
"Samuel Gilbert Public School,Castle Hill,NSW,2154",95,12%,5,4,720,Trend / Compare,"Castle Hill,NSW,2154",Government,95
"Rozelle Public School,Rozelle,NSW,2039",95,12%,5,4,560,Trend / Compare,"Rozelle,NSW,2039",Government,96
"St Michael's Catholic Primary School,Daceyville,NSW,2032",95,12%,5,4,350,Trend / Compare,"Daceyville,NSW,2032",Non-government,95
"Wideview Public School,Berowra Heights,NSW,2082",95,12%,5,4,360,Trend / Compare,"Berowra Heights,NSW,2082",Government,95
"Kegworth Public School,Leichhardt,NSW,2040",95,13%,5,4,340,Trend / Compare,"Leichhardt,NSW,2040",Government,95
"Mortlake Public School,Concord,NSW,2137",95,13%,5,4,330,Trend / Compare,"Concord,NSW,2137",Government,90
"Australian Christian College,Marsden Park,NSW,2765",95,13%,5,4,1400,Trend / Compare,"Marsden Park,NSW,2765",Non-government,83
"Oxford Falls Grammar School,Oxford Falls,NSW,2100",95,13%,5,5,1200,Trend / Compare,"Oxford Falls,NSW,2100",Non-government,96
"St Mary's School,Erskineville,NSW,2043",95,13%,5,4,200,Trend / Compare,"Erskineville,NSW,2043",Non-government,96
"Our Lady of Fatima School,Caringbah,NSW,2229",95,13%,5,4,550,Trend / Compare,"Caringbah,NSW,2229",Non-government,94
"St Mary's Catholic Primary School,Manly,NSW,2095",95,13%,5,4,290,Trend / Compare,"Manly,NSW,2095",Non-government,96
"St Joseph's Catholic Primary School,Rockdale,NSW,2216",95,13%,5,4,220,Trend / Compare,"Rockdale,NSW,2216",Non-government,94
"Norwest Christian College,Riverstone,NSW,2765",95,13%,5,4,990,Trend / Compare,"Riverstone,NSW,2765",Non-government,89
"Forestville Public School,Forestville,NSW,2087",95,13%,5,4,580,Trend / Compare,"Forestville,NSW,2087",Government,95
"Hurstville South Public School,Hurstville,NSW,2220",95,13%,5,4,540,Trend / Compare,"Hurstville,NSW,2220",Government,86
"Darcy Road Public School,Wentworthville,NSW,2145",95,13%,5,4,680,Trend / Compare,"Wentworthville,NSW,2145",Government,95
"Manly West Public School,Balgowlah,NSW,2093",95,13%,5,4,860,Trend / Compare,"Balgowlah,NSW,2093",Government,96
"Pagewood Public School,Botany,NSW,2019",95,13%,5,4,310,Trend / Compare,"Botany,NSW,2019",Government,93
"St Charles' Primary School,Ryde,NSW,2112",95,13%,5,4,560,Trend / Compare,"Ryde,NSW,2112",Non-government,95
"Westmead Public School,Westmead,NSW,2145",95,13%,5,4,1070,Trend / Compare,"Westmead,NSW,2145",Government,95
"St Mel's Catholic Primary School,Campsie,NSW,2194",95,13%,5,4,310,Trend / Compare,"Campsie,NSW,2194",Non-government,75
"Normanhurst West Public School,Thornleigh,NSW,2120",95,13%,5,5,450,Trend / Compare,"Thornleigh,NSW,2120",Government,96
"Our Lady of Good Counsel Catholic Primary School,Forestville,NSW,2087",95,14%,5,4,350,Trend / Compare,"Forestville,NSW,2087",Non-government,96
"Penshurst Public School,Penshurst,NSW,2222",95,14%,5,4,430,Trend / Compare,"Penshurst,NSW,2222",Government,75
"St Anthony's Primary School,Girraween,NSW,2145",95,14%,5,4,390,Trend / Compare,"Girraween,NSW,2145",Non-government,95
"Harbord Public School,Freshwater,NSW,2096",95,14%,5,4,950,Trend / Compare,"Freshwater,NSW,2096",Government,95
"St Margaret Mary's Catholic Primary School,Randwick North,NSW,2031",95,14%,5,4,150,Trend / Compare,"Randwick North,NSW,2031",Non-government,96
"Croydon Public School,Croydon,NSW,2132",95,14%,5,4,630,Trend / Compare,"Croydon,NSW,2132",Government,95
"St Kieran's Catholic Primary School,Manly Vale,NSW,2093",95,14%,5,4,210,Trend / Compare,"Manly Vale,NSW,2093",Non-government,95
"Forest Lodge Public School,Forest Lodge,NSW,2037",95,14%,5,4,330,Trend / Compare,"Forest Lodge,NSW,2037",Government,96
"Corpus Christi Catholic Primary School,St Ives,NSW,2075",95,14%,5,4,190,Trend / Compare,"St Ives,NSW,2075",Non-government,96
"St Michael's School,Baulkham Hills,NSW,2153",95,14%,5,4,710,Trend / Compare,"Baulkham Hills,NSW,2153",Non-government,95
"St Patrick's Catholic Primary School,Kogarah,NSW,2217",95,14%,5,4,420,Trend / Compare,"Kogarah,NSW,2217",Non-government,95
"Wollemi College,Werrington,NSW,2747",95,14%,5,4,450,Trend / Compare,"Werrington,NSW,2747",Non-government,93
"St Johns Park Public School,St Johns Park,NSW,2176",95,14%,5,4,740,Trend / Compare,"St Johns Park,NSW,2176",Government,58
"Immaculate Heart of Mary School,Sefton,NSW,2162",95,14%,5,4,360,Trend / Compare,"Sefton,NSW,2162",Non-government,68
"Marie Bashir Public School,Strathfield,NSW,2135",95,14%,5,4,390,Trend / Compare,"Strathfield,NSW,2135",Government,95
"Strathfield South Public School,Enfield,NSW,2136",95,14%,5,4,630,Trend / Compare,"Enfield,NSW,2136",Government,88
"Our Lady of Lourdes Primary School,Baulkham Hills,NSW,2153",95,14%,5,4,410,Trend / Compare,"Baulkham Hills,NSW,2153",Non-government,95
"Gladesville Public School,Gladesville,NSW,2111",94,14%,5,4,460,Trend / Compare,"Gladesville,NSW,2111",Government,95
"Bald Face Public School,Blakehurst,NSW,2221",94,14%,5,4,260,Trend / Compare,"Blakehurst,NSW,2221",Government,95
"Bilgola Plateau Public School,Bilgola Plateau,NSW,2107",94,14%,5,4,430,Trend / Compare,"Bilgola Plateau,NSW,2107",Government,95
"Santa Sabina College,Strathfield,NSW,2135",94,14%,5,4,1240,Trend / Compare,"Strathfield,NSW,2135",Non-government,96
"Connells Point Public School,Hurstville South,NSW,2221",94,14%,5,4,480,Trend / Compare,"Hurstville South,NSW,2221",Government,93
"St Martha's Catholic Primary School,Strathfield,NSW,2135",94,15%,5,4,360,Trend / Compare,"Strathfield,NSW,2135",Non-government,95
"St Francis Catholic College,Edmondson Park,NSW,2174",94,15%,5,4,1240,Trend / Compare,"Edmondson Park,NSW,2174",Non-government,88
"St Christopher's Catholic Primary School,Holsworthy,NSW,2173",94,15%,5,4,580,Trend / Compare,"Holsworthy,NSW,2173",Non-government,89
"Hills Adventist College,Kellyville,NSW,2155",94,15%,5,4,770,Trend / Compare,"Kellyville,NSW,2155",Non-government,95
"Holy Family Catholic Primary Schooll,Menai,NSW,2234",94,15%,5,4,420,Trend / Compare,"Menai,NSW,2234",Non-government,95
"St Agatha's Catholic Primary School,Pennant Hills,NSW,2120",94,15%,5,4,250,Trend / Compare,"Pennant Hills,NSW,2120",Non-government,96
"St Ives Park Public School,St Ives,NSW,2075",94,15%,5,4,160,Trend / Compare,"St Ives,NSW,2075",Government,96
"St Patrick's Catholic Primary School,Sutherland,NSW,2232",94,15%,5,4,560,Trend / Compare,"Sutherland,NSW,2232",Non-government,95
"St Spyridon College,Maroubra,NSW,2035",94,15%,5,4,780,Trend / Compare,"Maroubra,NSW,2035",Non-government,92
"Parramatta East Public School,Parramatta,NSW,2150",94,15%,5,4,540,Trend / Compare,"Parramatta,NSW,2150",Government,92
"Annangrove Public School,Annangrove,NSW,2156",94,15%,5,4,140,Trend / Compare,"Annangrove,NSW,2156",Government,95
"Camdenville Public School,Newtown,NSW,2042",94,15%,5,4,330,Trend / Compare,"Newtown,NSW,2042",Government,95
"Winston Hills Public School,Winston Hills,NSW,2153",94,15%,5,4,710,Trend / Compare,"Winston Hills,NSW,2153",Government,94
"St Paul's Grammar School,Cranebrook,NSW,2749",94,15%,5,4,830,Trend / Compare,"Cranebrook,NSW,2749",Non-government,95
"Fort Street Public School,Sydney,NSW,2000",94,15%,5,4,250,Trend / Compare,"Sydney,NSW,2000",Government,95
"St Luke's School,Revesby,NSW,2212",94,15%,5,4,610,Trend / Compare,"Revesby,NSW,2212",Non-government,86
"St Joseph's Catholic Primary School,Oatley,NSW,2223",94,15%,5,4,220,Trend / Compare,"Oatley,NSW,2223",Non-government,96
"St Andrew's Catholic Primary School,Malabar,NSW,2036",94,15%,5,4,430,Trend / Compare,"Malabar,NSW,2036",Non-government,83
"Sherwood Ridge Public School,Kellyville,NSW,2155",94,15%,5,4,740,Trend / Compare,"Kellyville,NSW,2155",Government,95
"John Palmer Public School,The Ponds,NSW,2769",94,16%,5,4,980,Trend / Compare,"The Ponds,NSW,2769",Government,95
"Melrose Park Public School,West Ryde,NSW,2114",94,16%,5,4,190,Trend / Compare,"West Ryde,NSW,2114",Government,90
"St Therese Catholic Primary School,Mascot,NSW,2020",94,16%,5,4,620,Trend / Compare,"Mascot,NSW,2020",Non-government,87
"Christ the King Catholic School,Yagoona,NSW,2199",94,16%,5,4,190,Trend / Compare,"Yagoona,NSW,2199",Non-government,66
"Holy Saviour School,Greenacre,NSW,2190",94,16%,5,4,270,Trend / Compare,"Greenacre,NSW,2190",Non-government,60
"Kings Langley Public School,Kings Langley,NSW,2147",94,16%,5,4,600,Trend / Compare,"Kings Langley,NSW,2147",Government,83
"Smalls Road Public School,Ryde,NSW,2112",94,16%,5,4,290,Trend / Compare,Ryde NSW 2112,Government,95
"St John The Apostle Catholic Primary School,Narraweena,NSW,2099",94,16%,5,4,240,Trend / Compare,"Narraweena,NSW,2099",Non-government,94
"Waverley Public School,Waverley,NSW,2024",94,16%,5,4,350,Trend / Compare,"Waverley,NSW,2024",Government,96
"Glenorie Public School,Glenorie,NSW,2157",94,16%,5,4,280,Trend / Compare,"Glenorie,NSW,2157",Government,77
"Mater Dei Catholic Primary School,Blakehurst,NSW,2221",94,16%,5,4,430,Trend / Compare,"Blakehurst,NSW,2221",Non-government,95
"Concord West Public School,Concord West,NSW,2138",94,16%,5,4,360,Trend / Compare,"Concord West,NSW,2138",Government,95
"Dundas Public School,Dundas,NSW,2117",94,16%,5,4,350,Trend / Compare,"Dundas,NSW,2117",Government,83
"St Patrick's Catholic Primary School,Summer Hill,NSW,2130",94,16%,5,4,170,Trend / Compare,"Summer Hill,NSW,2130",Non-government,96
"Kogarah Public School,Kogarah,NSW,2217",94,16%,5,4,480,Trend / Compare,"Kogarah,NSW,2217",Government,95
"St Patrick's Catholic Primary School,Asquith,NSW,2077",94,16%,5,4,240,Trend / Compare,"Asquith,NSW,2077",Non-government,95
"Sydney Adventist School Auburn,Auburn,NSW,2144",94,16%,4,5,160,Trend / Compare,"Auburn,NSW,2144",Non-government,47
"Bondi Public School,Bondi,NSW,2026",94,16%,5,4,540,Trend / Compare,"Bondi,NSW,2026",Government,96
"Northern Beaches Christian School,Terrey Hills,NSW,2084",94,16%,5,4,1160,Trend / Compare,"Terrey Hills,NSW,2084",Non-government,95
"Peakhurst South Public School,Peakhurst,NSW,2210",94,17%,5,4,330,Trend / Compare,"Peakhurst,NSW,2210",Government,75
"St James Catholic Primary School,Forest Lodge,NSW,2037",94,17%,5,4,160,Trend / Compare,"Forest Lodge,NSW,2037",Non-government,95
"Greystanes Public School,Greystanes,NSW,2145",94,17%,5,4,630,Trend / Compare,"Greystanes,NSW,2145",Government,86
"St Catherine Laboure School,Gymea,NSW,2227",94,17%,5,4,570,Trend / Compare,"Gymea,NSW,2227",Non-government,95
"St Maroun's College,Dulwich Hill,NSW,2203",93,17%,5,4,500,Trend / Compare,"Dulwich Hill,NSW,2203",Non-government,71
"Collaroy Plateau Public School,Collaroy Plateau,NSW,2097",93,17%,5,4,550,Trend / Compare,"Collaroy Plateau,NSW,2097",Government,95
"John the Baptist Primary School,Bonnyrigg,NSW,2177",93,17%,5,4,860,Trend / Compare,"Bonnyrigg,NSW,2177",Non-government,74
"Beacon Hill Public School,Beacon Hill,NSW,2100",93,17%,4,5,470,Trend / Compare,"Beacon Hill,NSW,2100",Government,92
"South Coogee Public School,South Coogee,NSW,2034",93,17%,5,4,510,Trend / Compare,"South Coogee,NSW,2034",Government,93
"Peakhurst Public School,Peakhurst,NSW,2210",93,17%,5,4,510,Trend / Compare,"Peakhurst,NSW,2210",Government,77
"Galungara Public School,Schofields,NSW,2762",93,17%,5,4,560,Trend / Compare,Schofields NSW 2762,Government,95
"Seven Hills North Public School,Seven Hills,NSW,2147",93,17%,5,4,280,Trend / Compare,"Seven Hills,NSW,2147",Government,84
"Double Bay Public School,Double Bay,NSW,2028",93,17%,5,4,280,Trend / Compare,"Double Bay,NSW,2028",Government,96
"Arkana College,Kingsgrove,NSW,2208",93,17%,5,4,210,Trend / Compare,"Kingsgrove,NSW,2208",Non-government,95
"Russell Lea Infants School,Five Dock,NSW,2046",93,17%,5,4,370,Trend / Compare,"Five Dock,NSW,2046",Government,95
"Loftus Public School,Loftus,NSW,2232",93,17%,5,4,380,Trend / Compare,"Loftus,NSW,2232",Government,83
"Burraneer Bay Public School,Croa,NSW,2230",93,17%,5,4,590,Trend / Compare,"Croa,NSW,2230",Government,87
"Toongabbie Christian College,Toongabbie,NSW,2146",93,17%,5,4,1070,Trend / Compare,"Toongabbie,NSW,2146",Non-government,93
"Belrose Public School,Belrose,NSW,2085",93,18%,5,4,190,Trend / Compare,"Belrose,NSW,2085",Government,95
"St Monica's Primary School,North Parramatta,NSW,2151",93,18%,5,4,200,Trend / Compare,"North Parramatta,NSW,2151",Non-government,95
"Vaucluse Public School,Vaucluse,NSW,2030",93,18%,5,4,310,Trend / Compare,"Vaucluse,NSW,2030",Government,95
"Bangor Public School,Bangor,NSW,2234",93,18%,5,4,540,Trend / Compare,"Bangor,NSW,2234",Government,78
"Boronia Park Public School,Hunters Hill,NSW,2110",93,18%,5,4,510,Trend / Compare,"Hunters Hill,NSW,2110",Government,96
"Lilli Pilli Public School,Lilli Pilli,NSW,2229",93,18%,5,4,390,Trend / Compare,"Lilli Pilli,NSW,2229",Government,95
"Ferncourt Public School,Marrickville,NSW,2204",93,18%,5,4,370,Trend / Compare,"Marrickville,NSW,2204",Government,95
"Crown Street Public School,Surry Hills,NSW,2010",93,18%,5,4,330,Trend / Compare,"Surry Hills,NSW,2010",Government,95
"St Patrick's Primary School,Parramatta,NSW,2150",93,18%,5,4,420,Trend / Compare,"Parramatta,NSW,2150",Non-government,91
"Wentworthville Public School,Wentworthville,NSW,2145",93,18%,5,4,790,Trend / Compare,"Wentworthville,NSW,2145",Government,94
"Bondi Beach Public School,Bondi Beach,NSW,2026",93,18%,5,4,490,Trend / Compare,"Bondi Beach,NSW,2026",Government,95
"St Francis Xavier Catholic Primary School,Lurnea,NSW,2170",93,18%,5,4,420,Trend / Compare,"Lurnea,NSW,2170",Non-government,75
"St Francis Xavier's Catholic Primary School,Arncliffe,NSW,2205",93,18%,5,4,250,Trend / Compare,"Arncliffe,NSW,2205",Non-government,95
"Como West Public School,Como,NSW,2226",93,18%,5,4,320,Trend / Compare,"Como,NSW,2226",Government,95
"Newtown North Public School,Newtown,NSW,2042",93,18%,5,4,250,Trend / Compare,"Newtown,NSW,2042",Government,96
"Inaburra School,Bangor,NSW,2234",93,19%,5,4,1190,Trend / Compare,"Bangor,NSW,2234",Non-government,95
"St Joseph's Catholic Primary School,Riverwood,NSW,2210",93,19%,5,4,480,Trend / Compare,"Riverwood,NSW,2210",Non-government,87
"North Kellyville Public School,North Kellyville,NSW,2155",93,19%,5,4,950,Trend / Compare,"North Kellyville,NSW,2155",Government,95
"Pittwater House School,Collaroy,NSW,2097",93,19%,5,4,910,Trend / Compare,"Collaroy,NSW,2097",Non-government,96
"Mortdale Public School,Mortdale,NSW,2223",93,19%,5,4,370,Trend / Compare,"Mortdale,NSW,2223",Government,86
"St Aidan's Primary School,Maroubra,NSW,2035",93,19%,5,4,180,Trend / Compare,"Maroubra,NSW,2035",Non-government,95
"Beaumont Hills Public School,Beaumont Hills,NSW,2155",93,19%,5,4,560,Trend / Compare,"Beaumont Hills,NSW,2155",Government,93
"Wheeler Heights Public School,Collaroy Plateau,NSW,2097",93,19%,5,4,470,Trend / Compare,"Collaroy Plateau,NSW,2097",Government,91
"Alexandria Park Community School,Alexandria,NSW,2015",93,19%,4,4,1090,Trend / Compare,"Alexandria,NSW,2015",Government,64
"Avalon Public School,Avalon Beach,NSW,2107",93,19%,5,4,880,Trend / Compare,"Avalon Beach,NSW,2107",Government,92
"St Michael's Catholic Primary School,Stanmore,NSW,2048",93,19%,5,4,120,Trend / Compare,"Stanmore,NSW,2048",Non-government,96
"Curl Curl North Public School,North Curl Curl,NSW,2099",93,19%,5,4,740,Trend / Compare,"North Curl Curl,NSW,2099",Government,95
"Shire Christian School,Barden Ridge,NSW,2234",92,19%,5,4,940,Trend / Compare,"Barden Ridge,NSW,2234",Non-government,95
"Asquith Public School,Asquith,NSW,2077",92,19%,5,4,410,Trend / Compare,"Asquith,NSW,2077",Government,91
"Quakers Hill East Public School,Acacia Gardens,NSW,2763",92,19%,5,4,720,Trend / Compare,"Acacia Gardens,NSW,2763",Government,91
"Metella Road Public School,Toongabbie,NSW,2146",92,19%,5,4,690,Trend / Compare,"Toongabbie,NSW,2146",Government,82
"St Felix's Catholic Primary School,Bankstown,NSW,2200",92,19%,5,4,550,Trend / Compare,"Bankstown,NSW,2200",Non-government,68
"St John Bosco Catholic Primary School,Engadine,NSW,2233",92,20%,5,4,780,Trend / Compare,"Engadine,NSW,2233",Non-government,89
"Concord Public School,Concord,NSW,2137",92,20%,5,4,290,Trend / Compare,"Concord,NSW,2137",Government,82
"Grays Point Public School,Grays Point,NSW,2232",92,20%,4,4,370,Trend / Compare,"Grays Point,NSW,2232",Government,95
"John XXIII Catholic Primary School,Stanhope Gardens,NSW,2768",92,20%,5,4,800,Trend / Compare,"Stanhope Gardens,NSW,2768",Non-government,95
"Kesser Torah College,Dover Heights,NSW,2030",92,20%,5,4,390,Trend / Compare,"Dover Heights,NSW,2030",Non-government,86
"Ryde East Public School,North Ryde,NSW,2113",92,20%,5,4,500,Trend / Compare,"North Ryde,NSW,2113",Government,95
"Abbotsford Public School,Abbotsford,NSW,2046",92,20%,5,4,480,Trend / Compare,"Abbotsford,NSW,2046",Government,95
"Westmead Christian Grammar School,Westmead,NSW,2145",92,20%,5,4,160,Trend / Compare,"Westmead,NSW,2145",Non-government,95
"Leonay Public School,Emu Plains,NSW,2750",92,20%,4,4,210,Trend / Compare,"Emu Plains,NSW,2750",Government,69
"Manly Vale Public School,Manly Vale,NSW,2093",92,20%,5,4,570,Trend / Compare,"Manly Vale,NSW,2093",Government,95
"All Hallows Catholic Primary School,Five Dock,NSW,2046",92,20%,5,4,490,Trend / Compare,"Five Dock,NSW,2046",Non-government,95
"Kellyville Ridge Public School,Kellyville Ridge,NSW,2155",92,20%,5,4,730,Trend / Compare,"Kellyville Ridge,NSW,2155",Government,94
"St Brendan's Catholic Primary School,Bankstown,NSW,2200",92,20%,5,4,440,Trend / Compare,"Bankstown,NSW,2200",Non-government,61
"Lindfield Learning Village,Lindfield,NSW,2070",92,21%,5,4,720,Trend / Compare,"Lindfield,NSW,2070",Government,96
"Richard Johnson Anglican School,Oakhurst,NSW,2761",92,21%,5,4,1240,Trend / Compare,"Oakhurst,NSW,2761",Non-government,82
"St Bernard's Catholic Primary School,Berowra Heights,NSW,2082",92,21%,5,4,230,Trend / Compare,"Berowra Heights,NSW,2082",Non-government,95
"St Gabriel's Catholic School,Bexley,NSW,2207",92,21%,5,4,210,Trend / Compare,"Bexley,NSW,2207",Non-government,86
"Camden Public School,Camden,NSW,2570",92,21%,5,4,330,Trend / Compare,"Camden,NSW,2570",Government,63
"Matraville Public School,Matraville,NSW,2036",92,21%,5,4,220,Trend / Compare,"Matraville,NSW,2036",Government,59
"Northholm Grammar School,Arcadia,NSW,2159",92,21%,5,4,490,Trend / Compare,"Arcadia,NSW,2159",Non-government,95
"Laguna Street Public School,Caringbah,NSW,2229",92,21%,5,4,470,Trend / Compare,"Caringbah,NSW,2229",Government,89
"Macquarie Fields Public School,Macquarie Fields,NSW,2564",92,21%,5,4,910,Trend / Compare,"Macquarie Fields,NSW,2564",Government,68
"Parklea Public School,Glenwood Park,NSW,2768",92,21%,5,4,660,Trend / Compare,"Glenwood Park,NSW,2768",Government,86
"Our Lady of Perpetual Succour Catholic Primary School,West Pymble,NSW,2073",92,21%,5,4,130,Trend / Compare,"West Pymble,NSW,2073",Non-government,96
"St Joan of Arc School,Haberfield,NSW,2045",92,21%,5,3,170,Trend / Compare,"Haberfield,NSW,2045",Non-government,83
"Banksmeadow Public School,Botany,NSW,2019",92,21%,5,4,300,Trend / Compare,"Botany,NSW,2019",Government,67
"Yowie Bay Public School,Yowie Bay,NSW,2228",92,21%,4,4,420,Trend / Compare,"Yowie Bay,NSW,2228",Government,92
"Bonnet Bay Public School,Bonnet Bay,NSW,2226",92,21%,5,4,200,Trend / Compare,"Bonnet Bay,NSW,2226",Government,92
"Newbridge Heights Public School,Moorebank,NSW,2170",92,21%,5,4,530,Trend / Compare,"Moorebank,NSW,2170",Government,74
"Gymea Bay Public School,Gymea Bay,NSW,2227",92,21%,5,4,780,Trend / Compare,"Gymea Bay,NSW,2227",Government,92
"Heathcote East Public School,Heathcote,NSW,2233",92,22%,5,4,110,Trend / Compare,"Heathcote,NSW,2233",Government,72
"Penrith Anglican College,Orchard Hills,NSW,2748",92,22%,5,4,980,Trend / Compare,"Orchard Hills,NSW,2748",Non-government,93
"St Joseph's Catholic Primary School,Moorebank,NSW,2170",92,22%,5,3,440,Trend / Compare,"Moorebank,NSW,2170",Non-government,74
"Brookvale Public School,Brookvale,NSW,2100",91,22%,5,4,340,Trend / Compare,"Brookvale,NSW,2100",Government,75
"Sacred Heart Catholic Primary School,Mona Vale,NSW,2103",91,22%,5,4,380,Trend / Compare,"Mona Vale,NSW,2103",Non-government,95
"Mimosa Public School,Frenchs Forest,NSW,2086",91,22%,5,4,540,Trend / Compare,"Frenchs Forest,NSW,2086",Government,95
"Our Lady of Fatima School,Kingsgrove,NSW,2208",91,22%,5,4,470,Trend / Compare,"Kingsgrove,NSW,2208",Non-government,95
"St Joachim's Catholic Primary School,Lidcombe,NSW,2141",91,22%,5,4,310,Trend / Compare,"Lidcombe,NSW,2141",Non-government,84
"Coogee Public School,Coogee,NSW,2034",91,22%,5,4,520,Trend / Compare,"Coogee,NSW,2034",Government,96
"St Paul of The Cross Catholic Primary School,Dulwich Hill,NSW,2203",91,22%,5,4,160,Trend / Compare,"Dulwich Hill,NSW,2203",Non-government,91
